symbol,token
GREENPOWER,5148161
GRETEX-ST,4797953
GRINDWELL,3471361
GRINFRA,1293825
GRMOVER,2782977
GRN200INAV,7656193
GRO250INAV,7825921
GROBTEA,4549121
GROLIQINAV,6520065
GRONIFINAV,7815937
GROWEVINAV,6349057
GROWLOINAV,7813121
GROWMOINAV,7808001
GROWSLINAV,7809281
GROWW,194510337
GROWWCAPM,194573057
GROWWCHEM,194732289
GROWWDEFNC,6594049
GROWWEINAV,7833857
GROWWEV,6348289
GROWWGINAV,6624001
GROWWGOLD,6623233
GROWWHOSPI,194783745
GROWWLIQID,6514433
GROWWLOVOL,194124801
GROWWMC150,194488065
GROWWMETAL,194672129
GROWWMOM50,193558017
GROWWN200,7647233
GROWWNET,194000385
GROWWNIFTY,194226433
GROWWNINAV,7814913
GROWWNXT50,194421249
GROWWPINAV,7816961
GROWWPOWER,194090241
GROWWPSE,194809857
GROWWPSUBK,194947585
GROWWRAIL,7558913
GROWWRINAV,7819777
GROWWRLTY,194413569
GROWWSC250,194437633
GROWWSLVR,193747713
GRPLTD,1675009
GRRAILINAV,7559681
GRSE,1401601
GRW150INAV,7826945
GRWCHEINAV,7833345
GRWMTLINAV,7831297
GRWN50INAV,7818241
GRWPSUINAV,7836673
GRWRHITECH,2043393
GRWWDFINAV,6599937
GS070626C-GS,1123073
GS100526C-GS,1122305
GS120626C-GS,1123585
GS150626C-GS,1124609
GS151226C-GS,1128705
GS220230C-GS,1132289
GS220231C-GS,1133825
GS220236C-GS,1134593
GS220240C-GS,1157121
GS220250C-GS,1165313
GS220261C-GS,1166081
GS220261P-GS,1125121
GS220830C-GS,1133313
GS220831C-GS,1134337
GS220836C-GS,1150465
GS220840C-GS,1163777
GS220850C-GS,1165569
GS260426C-GS,1121793
GSEC10ABSL,6360833
GSEC10IETF,3364609
GSEC10INAV,6361601
GSEC10YEAR,3824129
GSEC5IETF,2135553
GSFC,319233
GSLSU,3737345
GSMFOILS-SM,6115329
GSPCROP,195133185
GSPL,3378433
GSS,3928833
GSTL-ST,2500609
GTECJAINX,289025
GTL,297473
GTLINFRA,3518721
GTPL,5425921
GUFICBIO,2971137
GUJALKALI,324353
GUJAPOLLO,3757313
GUJGASLTD,2713345
GUJRAFFIA,1164289
GUJTHEM,7611137
GULFOILLUB,1124097
GULFPETRO,2964737
GULPOLY,1609217
GURUNANAK-SM,194370817
GVKPIL-BE,3386625
GVPIL-BE,2013697
GVPTECH,2781441
GVPTECHPP-E1,194082817
GVT&D,4296449
HAL,589569
HALDER,194743041
HALEOSLABS,5517057
HAPPSTMNDS,12289
HAPPYFORGE,5338625
HARDWYN,2294273
HARIOMPIPE,2295809
HARRMALAYA,336129
HARSHA,2857473
HATHWAY,4647425
HATSUN,996353
HAVELLS,2513665
HAVISHA,1908993
HBANKEINAV,2565633
HBLENGINE,3575297
HBS500INAV,3645185
HBS500INAV-RL,3645441
HBSL,1053697
HCC,352001
HCG,3982081
HCL-INSYS,339713
HCLTECH,1850625
HDBFS,193989633
HDF100INAV,2709249
HDFC50INAV,2709505
HDFCAMC,1086465
HDFCBANK,341249
HDFCBSE500,3642881
HDFCGOLD,5003009
HDFCGRINAV,2884097
HDFCGROWTH,2877697
HDFCLIFE,119553
HDFCLIQUID,4679425
HDFCLOWVOL,2956033
HDFCLVINAV,2957569
HDFCMFINAV,2109697
HDFCMID150,3644417
HDFCMOINAV,2957057
HDFCMOMENT,2953729
HDFCNEXT50,2718465
HDFCNFINAV,2565889
HDFCNIF100,2722049
HDFCNIFBAN,5742849
HDFCNIFIT,3097857
HDFCNIFTY,2967297
HDFCNIINAV,4332033
HDFCPBINAV,3102465
HDFCPSUBK,5784321
HDFCPVTBAN,3099649
HDFCQUAL,2881281
HDFCQUINAV,2884353
HDFCSEINAV,2566145
HDFCSENSEX,2967809
HDFCSIINAV,2786049
HDFCSIINAV-RL,2786305
HDFCSILVER,2784257
HDFCSML250,3643649
HDFCVALUE,2882561
HDFCVLINAV,2885633
HDFLIQINAV,4680193
HDFPBKINAV,5785345
HDIL-BZ,4587521
HEADSUP,4916481
HEALADINAV,5785089
HEALTHADD,5783553
HEALTHCARE,194812417
HEALTHIETF,928257
HEALTHINAV,2550529
HEALTHY,1612033
HECPROJECT,1900801
HEG,342017
HEIDELBERG,592897
HEMIPROP,179457
HERANBA,669185
HERITGFOOD,1177089
HEROMOTOCO,345089
HESTERBIO,1804289
HEXATRADEX,6914049
HEXT,7594497
HFCL,5619457
HGINFRA,428033
HGM,3479553
HGS,3766273
HIGREEN-SM,4811265
HIKAL,2475009
HILINFRA,194330369
HILTON,3744513
HIMATSEIDE,348161
HINDALCO,348929
HINDCOMPOS,351233
HINDCON,1259521
HINDCOPPER,4592385
HINDOILEXP,359169
HINDPETRO,359937
HINDUNILVR,356865
HINDWAREAP,4066049
HINDZINC,364545
HIRECT,3555841
HISARMETAL,4946433
HITECH,734209
HITECHCORP,3881217
HITECHGEAR-BE,2193409
HLEGLAS,585985
HLTCREINAV,7834113
HLVLTD,370689
HMAAGRO,4365569
HMI150INAV,3645697
HMI150INAV-RL,3645953
HMT-BZ,5042689
HMVL,4918017
HNDFDS,3116289
HNGSNGBEES,4680705
HOACFOODS-SM,6098433
HOLMARC-SM,4774145
HOMEFIRST,526337
HOMESFY-SM,3462657
HONASA,5072129
HONAUT,874753
HONDAPOWER,803329
HPAL,1888257
HPIL,3019777
HPL,4781825
HPTL-SM,7648001
HRHNEXT-SM,5403393
HSBCGDINAV,7836417
HSBCGOLD,194945537
HSCL,3669505
HSM250INAV,3646209
HSM250INAV-RL,3646465
HTMEDIA,3066625
HUBTOWN,3635969
HUDCO,5331201
HUHTAMAKI,655873
HVAX-SM,6581249
HYBRIDFIN,3279105
HYUNDAI,6616065
IBLFL-SM,5465089
IBMFNIINAV,2576897
IBULLSLTD,6399745
IC10GSINAV,3371265
ICDSLTD-BE,2460161
ICEMAKE,125185
ICICI1INAV,2572801
ICICI2INAV,2567169
ICICI5INAV,2572289
ICICIAINAV,2572545
ICICIAMC,194664193
ICICIB22,133633
ICICIBANK,1270529
ICICIBINAV,2575105
ICICICINAV,2567937
ICICIFINAV,2568449
ICICIGI,5573121
ICICIGINAV,2110721
ICICIKINAV,2566401
ICICILINAV,2574593
ICICIMINAV,2571521
ICICININAV,2574849
ICICIOINAV,2567681
ICICIPINAV,2566657
ICICIPRULI,4774913
ICICIQINAV,2571265
ICICIRINAV,2570753
ICICISINAV,2107649
ICICITINAV,2571009
ICICIXINAV,2572033
ICICIYINAV,2573825
ICICM58-Y1,1364737
ICICMOINAV,2710785
ICICOMINAV,3382785
ICIFININAV,3223809
ICIL,3068673
ICINFRINAV,2753537
ICIQ30INAV,4562433
ICISECINAV,2606849
ICISENINAV,2608385
ICRA,3717889
IDBI,377857
IDBIGOINAV,2108161
IDEA,3677697
IDEAFORGE,4387841
IDEALTECHO-SM,6387201
IDENTICAL-ST,7319041
IDFCFIRSTB,2863105
IDFNIFINAV,2575873
IDFNIFTYET,4808449
IEML-SM,6089985
IEX,56321
IFBAGRO,379393
IFBIND,380161
IFCI,381697
IFGLEXPOR,111617
IGARASHI,162305
IGCL,193997057
IGIL,7264769
IGL,2883073
IGPL,3606017
IHF261224A-N1,7391745
IHF261224-N1,7388417
IHFL261224-N1,7386625
IIFL,3023105
IIFL060326-YA,194847233
IIFL06326-YC,194847745
IIFL210425-NW,193571841
IIFL21425A-Y1,193573121
IIFL21425-NY,193572353
IIFL60326-YB,194847489
IIFLCAPS,3346433
IIFLHF29-NE,1964545
IIFLHFZC27-NB,1962497
IIFLZC26B-NY,4360705
IIFLZC26-NN,1588993
IIFLZC28A-NU,3547649
IIFLZC28B-Y1,4363009
IIFLZC28C-N6,1335553
IIFLZC28-NG,738049
IITL,4998401
IKIO,4306433
IKS,7200001
IL&FSENGG-BZ,2401281
IL&FSTRANS-BZ,2401537
IMAGICAA,1964033
IMC1-N1,3640065
IMC1-N2,3641345
IMC1-N3,3642369
IMFA,4924161
IMPAL,3074305
IMPEXFERRO-BZ,6625537
INA,194841345
INCREDIBLE,4481793
INDBANK,4334849
INDGN,6065409
INDHOTEL,387073
INDIACEM,387841
INDIAGLYCO,389377
INDIAMART,2745857
INDIANB,3663105
INDIANCARD,1132033
INDIANHUME,391681
INDIASHLTR,5262337
INDIFRA-SM,5390849
INDIGO,2865921
INDIGOPNTS,524289
INDIGRID-IV,5372929
INDIQUBE,194008321
INDNIPPON,1215233
INDOAMIN,2333697
INDOBORAX,2205185
INDOCO,2989313
INDOFARM,7430401
INDORAMA,2814209
INDOSTAR,790529
INDOTECH,3398401
INDOTHAI,6555649
INDOUS,6528769
INDOWIND,3827713
INDRAMEDCO,1216257
INDSWFTLAB,1246721
INDTERRAIN,5620993
INDUSINDBK,1346049
INDUSINVIT-IV,5897217
INDUSTOWER,7458561
INFINIUM-SM,3849217
INFLUX-SM,193946113
INFOBEAN,2822913
INFOLLION-SM,4246529
INFOMEDIA,3505409
INFRA,194823681
INFRABEES,5138433
INFRAIETF,2745089
INFRAINAV,7834369
INFY,408065
INGERRAND,408833
INM-SM,5829121
INNOMET-SM,6481921
INNOVACAP,5391873
INNOVANA,7105025
INNOVISION,194951169
INOXGREEN,3120129
INOXINDIA,5275393
INOXWIND,2010113
INSECTICID,3752193
INSPIRE-SM,4903425
INSPIRISYS-BE,3515905
INTEGRITY-SM,194022913
INTELLECT,1517057
INTENTECH,5138177
INTERARCH,6376705
INTERISE-IV,740353
INTERNET,194200321
INTERNINAV,7815169
INTLCONV,1435137
INVENTURE,6366721
INVICTA-SM,194595585
IOB,2393089
IOC,415745
IOLCP,5225729
IONEXCHANG,417281
IPCALAB,418049
IPHL-SM,6408449
IPL,1263105
IPSL-SM,3047169
IRB,3920129
IRBINVIT-IV,5329153
IRBIT-IV,3790337
IRCON,1276417
IRCTC,3484417
IREDA,5186817
IRFC,519425
IRIS,1661185
IRISDOREME,582401
IRMENERGY,5016833
ISFT,4730625
ISGEC,852225
ISHANCH,7743745
ISHAN-SM,2814721
ISIFHLSDG-SF,194983169
ISIFHLSG-SF,194983681
IT,672513
ITADD,4404993
ITALIANE-ST,5797889
ITBEES,4885505
ITBEESINAV,2596097
ITBETA,5756929
ITC,424961
ITCHOTELS,7488257
ITDC,4940545
ITETF,5026049
ITETFINAV,5028865
ITI,428801
ITIETF,5725441
ITTL-ST,6980097
IVALUE,194314497
IVC,1718017
IVP,430337
IVZINGINAV,2108417
IVZINGOLD,4682753
IVZINNIFTY,6199553
IVZINNINAV,2578177
IWARE-ST,193956865
IXIGO,6161153
IZMO-BE,3629569
J&KBANK,1442049
JAGRAN,3382017
JAGSNPHARM,1128961
JAIBALAJI,2881537
JAICORPLTD,1316609
JAINAM-SM,1539073
JAINIK-SM,194125569
JAINREC,194366465
JAIPURKURT,1412097
JAKHARIA-ST,1011201
JALAN-SM,5357825
JAMNAAUTO,5319169
JARO,194547457
JASH,3579393
JAYAGROGN,1034497
JAYBARMARU,437249
JAYBEE-ST,6410241
JAYESH-SM,194344705
JAYKAY,194578689
JAYNECOIND,596737
JAYSREETEA,440321
JBCHEPHARM,441857
JBMA,2983681
JETFREIGHT,1846017
JETKNIT-ST,4787201
JEYYAM-SM,6437633
JFLLIFE-SM,2786561
JGCHEM,5902337
JHS,3512321
JINDALPHOT,3006209
JINDALPOLY,449537
JINDALSAW,774145
JINDALSTEL,1723649
JINDRILL,3552001
JINDWORLD,5284353
JIOFIN,4644609
JISLDVREQS,6575105
JISLJALEQS,2661633
JITFINFRA-BE,5041921
JIWANRAM-SM,4750849
JKCEMENT,3397121
JKIL,3908097
JKIPL,194356481
JKLAKSHMI,3453697
JKPAPER,3036161
JKTYRE,3695361
JLHL,4749569
JMA,1819905
JMFINANCIL,3491073
JNKINDIA,6046977
JOCIL,4333313
JPOLYINVST,8065793
JPPOWER,3011329
JSFB,5801729
JSL,2876417
JSLL,194077441
JSWCEMENT,194165761
JSWENERGY,4574465
JSWHL,3041281
JSWINFRA,4869121
JSWSTEEL,3001089
JTEKTINDIA,828673
JTLIND,1865473
JUBLCPL,7575041
JUBLFOOD,4632577
JUBLINGREA,712449
JUBLPHARMA,931073
JUNIORBEES,2800385
JUNIPER,5842945
JUSTDIAL,7670273
JWL,5177345
JYOTHYLAB,3877377
JYOTICNC,5461505
JYOTIGLOBL-ST,194105345
JYOTISTRUC,461313
K2INFRA-SM,6005505
KABRAEXTRU,462081
KAJARIACER,462849
KAKATCEM,463617
KALAMANDIR,4801281
KALANA-ST,6514177
KALPATARU,194190849
KALYANI-BE,5031169
KALYANIFRG,3879937
KALYANKJIL,756481
KAMATHOTEL,467457
KAMDHENU,3444993
KAMOPAINTS,3536385
KANANIIND,6601217
KANDARP-SM,2869249
KANORICHEM,469761
KANPRPLA,456193
KANSAINER,306177
KAPSTON-BE,4856065
KARMAENG,6242561
KARNIKA-SM,4983041
KARURVYSYA,470529
KATARIA-SM,6279169
KAUSHALYA,3874817
KAVDEFENCE-BE,3903489
KAYA,2630657
KAYNES,3095553
KAYTEX-SM,194270209
KCEIL-SM,5420289
KCK-SM,2635009
KCP,471297
KCPSUGIND,1231105
KDDL,3816449
KDL-ST,4291841
KEC,3394561
KECL,4664321
KEEPLEARN,199169
KEI,3407361
KELLTONTEC,3438081
KEL-SM,4789249
KEN-SM,7564033
KERNEX,3358977
KESORAMIND,475905
KEYFINSERV,1064193
KFINTECH,3419905
KHADIM,108801
KHAICHEM,229377
KHAITANLTD,1001473
KHANDSE,2468097
KHFM-SM,2449921
KICL,5406465
KILITCH,5103873
KIMS,1240833
KINGFA,4849665
KIOCL,4896257
KIRIINDUS,4259585
KIRLOSBROS,4756737
KIRLOSENG,5359617
KIRLOSIND,4870401
KIRLPNU,3886081
KITEX,7398145
KKCL,3425537
KKJEWELS-SM,7473153
KKVAPOW-SM,4551937
KLL-SM,5423617
KMEW,6933505
KMSUGAR,3754753
KNAGRI,194796289
KNRCON,3912449
KOCONSINAV,2693889
KODYTECH-ST,4801025
KOHINOOR,770305
KOKMNCINAV,2734081
KOKUYOCMLN,4307713
KOLTEPATIL,3871745
KONSTELEC-SM,5752833
KONTOR-SM,4937473
KOPRAN,491265
KORE-SM,2787585
KOTAKAINAV,2580481
KOTAKBANK,492033
KOTAKBINAV,2579201
KOTAKGINAV,2112513
KOTAKIINAV,2579969
KOTAKLINAV,2580993
KOTAKMINAV,2580225
KOTAKNINAV,2580737
KOTAKPINAV,2579713
KOTAKSINAV,3350785
KOTAKVINAV,2579457
KOTARISUG,2981633
KOTHARIPET,1176065
KOTHARIPRO,1415169
KOTLIQINAV,3572737
KOTYARK,194901761
KPEL,6932225
KPIGREEN,1307649
KPIL,464385
KPITTECH,2478849
KPRMILL,3817473
KRBL,2707713
KREBSBIO,495873
KRIDHANINF,2938881
KRISHANA,3288833
KRISHCA-SM,4130049
KRISHIVAL,193736193
KRISHNADEF,194865153
KRISHPP-E1,194736129
KRITI,1642753
KRITIKA,2377729
KRITINUT,2926593
KRMAYURVED-SM,194719745
KRN,6564609
KRONOX,6150401
KROSS,6464513
KRSNAA,1371905
KRT-RR,194158337
KRYSTAL,5932801
KSB,498945
KSCL,3832833
KSHINTL,194670849
KSHITIJPOL-BE,2665473
KSL,4835585
KSOLVES,2831361
KSR-BE,194557185
KTKBANK,2061825
KUANTUM,3550721
KWIL,194802177
LAGNAM,1501441
LAKPRE-BZ,1222145
LAKSHYA-SM,6620161
LAL,3820545
LALPATHLAB,2983425
LAMBODHARA,1640193
LAMOSAIC-SM,6967809
LANCORHOL-BE,5895681
LANDMARK,3398657
LANDSMILL,4448257
LAOPALA,3692289
LASA,5558529
LATENTVIEW,1745409
LATTEYS,4055041
LAURUSLABS,4923905
LAXMICOT-BE,1681921
LAXMIDENTL,7467777
LAXMIINDIA,194268929
LCCINFOTEC-BE,1929473
LEMERITE,194636801
LEMONTREE,667137
LENSKART,194458881
LEXUS-BE,3702273
LFIC,2022913
LGBBROSLTD,4690177
LGEINDIA,194614529
LGHL,5088257
LIBAS,2836993
LIBERTSHOE,510465
LICHSGFIN,511233
LICI,2426881
LICMFGOLD,6563841
LICN50INAV,2585089
LICNETFGSC,1551873
LICNETFN50,2897665
LICNETFSEN,2928897
LICNETINAV,2586625
LICNFNHGP,3898625
LICNFNINAV,2581761
LICNGSINAV,2585857
LICNMDINAV,5818625
LICNMID100,5816833
LIKHITHA-BE,148225
LINC,1779457
LINCOLN,2968577
LINDEINDIA,416513
LIQADDINAV,5994497
LIQCASINAV,5573633
LIQETFINAV,6123009
LIQGRBINAV,7816193
LIQGRWBEES,193977601
LIQIDINAV,4499201
LIQPLSINAV,6931969
LIQSBIINAV,5047041
LIQSHRINAV,6240513
LIQUID,4498433
LIQUID1,3571201
LIQUIDADD,5992193
LIQUIDBEES,2817537
LIQUIDBETF,6122241
LIQUIDCASE,5568001
LIQUIDETF,493313
LIQUIDIETF,1238529
LIQUIDINAV,2593793
LIQUIDPLUS,6931201
LIQUIDSBI,5044481
LIQUIDSHRI,6239745
LIQUIEINAV,2561793
LLOYDSENGG,4557057
LLOYDSENT,6606593
LLOYDSME,4432129
LLOYDS-SM,2936833
LMW,506625
LODHA,824321
LOKESHMACH,3439617
LORDSCHLO,4667393
LOTUSDEV,194085121
LOTUSEYE,4302593
LOVABLE,5738241
LOWVOL,3785217
LOWVOL1,2209793
LOWVOLIETF,5441025
LOYALTEX-BE,2714881
LPDC,4316929
LRRPL-SM,3636225
LT,2939649
LTCASEINAV,7817985
LTF,6386689
LTFL28-N0,194190337
LTFOODS,3536897
LTGILTBEES,4531201
LTGILTCASE,194228481
LTGILTINAV,2594049
LTM,4561409
LTTS,4752385
LUMAXIND,516609
LUMAXTECH,3587585
LUPIN,2672641
LUXIND,2893057
LXCHEM,727297
LYKALABS,519169
LYPSAGEMS,8055809
M&M,519937
M&MFIN,3400961
M&MFIN-N3,5132801
MAANALU,3844353
MACOBSTECH-SM,6283521
MACPOWER,5720833
MADHAV,3878657
MADHAVBAUG-SM,2114305
MADHUCON,3499777
MADHUSUDAN-SM,4794369
MADRASFERT,1257217
MAESGEINAV,2590721
MAFANG,897793
MAFANGINAV,2590209
MAFSETINAV,2587649
MAG813INAV,3827969
MAGADSUGAR,5476353
MAGNUM,3828993
MAGOLDINAV,3657985
MAGOLDINAV-RL,3658241
MAGSON-SM,4374529
MAHABANK,2912513
MAHAPE-RE-BE,194985217
MAHAPEXLTD,1341185
MAHASTEEL-BE,4487937
MAHEPC,4506369
MAHESHWARI,2451457
MAHICKRA-ST,727041
MAHKTECH,1810945
MAHKTEINAV,2586881
MAHLIFE,2060801
MAHLOG,98561
MAHSCOOTER,533761
MAHSEAMLES,534529
MAITHANALL,6281729
MAITREYA-SM,5071105
MAKEINDIA,2042625
MAKS-SM,2871809
MALLCOM,2039041
MAL-SM,4898305
MALUPAPER,3418113
MAM150INAV,2588161
MAMATA,7343873
MAMFGEINAV,2587905
MAN50EINAV,2587137
MANAKALUCO-BE,1901313
MANAKCOAT,1897729
MANAKSIA,3890945
MANAKSTEEL,1910529
MANALIPETC,3531777
MANAPPURAM,4879617
MANAV-ST,5554689
MANBA,6552833
MANCREDIT,6354689
MANDEEP-SM,6087425
MANGALAM-BE,3025921
MANGLMCEM,539137
MANILAM-SM,194604545
MANINDS,3042305
MANINFRA,4665857
MANKIND,3937281
MANOMAY,3520769
MANORAMA,2618113
MANORG,1644033
MANUFGBEES,194218753
MANUGRAPH,3474433
MANXT5INAV,2589953
MANYAVAR,2090753
MAPMYINDIA,1850113
MARALOVER,540673
MARATHON,4776705
MARCO-SM,4805889
MARC-ST,194676737
MARICO,1041153
MARINE,339969
MARINETRAN-SM,5224961
MARKOLINES,194612225
MARKSANS,2708225
MARSONS,194914817
MARUSHIKA-SM,194826753
MARUTI,2815745
MASFIN,50945
MASILINAV,4295681
MASKINVEST,4794113
MASON-SM,6215169
MASPTOINAV,2590465
MASPTOP50,1480193
MASTEK,543745
MASTER-SM,4866817
MASTERTR,6924033
MATRIMONY,5561857
MAWANASUG,4357633
MAXESTATES,5029377
MAXHEALTH,5728513
MAXIND,5741569
MAXPOSURE-SM,5552897
MAXVOLT-SM,7589121
MAYASHEEL-SM,193942273
MAYURUNIQ,7399937
MAZDA,4829697
MAZDOCK,130305
MBAPL,3247617
MBEL,194086401
MBLINFRA,4615425
MCL-BE,5724673
MCLEODRUSS,3057409
MCLOUD,7547393
MCON-SM,3730945
MCX,7982337
MD150CINAV,6166273
MDL-SM,545793
MEDANTA,3060737
MEDIASSIST,5556481
MEDICAMEQ,1607169
MEDICO,2474753
MEDIORG-SM,6205185
MEDISTEP-ST,194157057
MEDPLUS,1857025
MEESHO,194618625
MEGAFLEX-ST,2810881
MEGASTAR,2087169
MEGATHERM-SM,5775361
MEIL,194239489
MENONBE,1782017
MEP-BZ,6625793
METAL,6590465
METALIETF,6364417
METALIINAV,6368257
METALINAV,6591233
METROBRAND,1853953
METROPOLIS,2452737
MFML,6383873
MFSL,548353
MGBEESINAV,7818497
MGEL,407809
MGL,4488705
MGSL-SM,194545921
MHHL-SM,365057
MHLSDDR-SF,7825409
MHLSDD-SF,7824897
MHLSDG-SF,7824385
MHLSRDR-SF,7823873
MHLSRD-SF,7823361
MHLSRG-SF,7822849
MHLXMIRU,2018817
MHRIL,4437249
MICEL,1835265
MICROPRO-SM,5091073
MID150,7800065
MID150BEES,2177537
MID150CASE,6163713
MID150INAV,2594305
MID15INAV,7801601
MIDADDINAV,7830273
MIDCAP,2067713
MIDCAPADD,194651137
MIDCAPBETA,4696833
MIDCAPETF,2153729
MIDCAPIETF,4390913
MIDHANI,630529
MIDQ50ADD,1908737
MIDSELIETF,4531713
MIDSMAINAV,6107649
MIDSMALL,6106881
MIDWESTLTD,194436353
MIEL-SM,6305025
MILTON-ST,41473
MINDACORP,6629633
MINDPOOL-SM,2278401
MINDSPACE-RR,5710849
MINDTECK,4620545
MINFRAINAV,7809025
MIRCELECTR,563713
MIRZAINT,1124865
MITCON,2168065
MITTAL,4751873
MKPL,4284417
MMEL-SM,193999361
MMFL,3544065
MMP,4197121
MMTC,4596993
MNC,2733057
MNV30FINAV,3791617
MOALPHA50,193963265
MOALPHINAV,7815425
MOBANK10,194993409
MOBIKWIK,7179777
MOBILISE-SM,194610177
MOBK10INAV,7838721
MOCAPIINAV,7697409
MOCAPITAL,7696641
MODEFENCE,6385665
MODEFINAV,6386433
MODINATUR,194630913
MODIRUBBER,570625
MODIS,194496513
MODISONLTD,848897
MODTHREAD,573697
MOENERGY,194399745
MOENERINAV,7821057
MOGOLD,193994497
MOGOLDINAV,7816449
MOGSEC,385793
MOGSECINAV,2590977
MOHEALTH,2690049
MOHITIND,7532289
MOHLTHINAV,2708993
MOIL,5332481
MOINFRA,193799937
MOIPO,194532097
MOIPOINAV,7827457
MOKSH,918017
MOL,1380865
MOLDTECH,4512001
MOLDTKPAC,1718529
MOLOWVINAV,2593537
MOLOWVOL,2215425
MOM100,5484289
MOM100INAV,2591233
MOM30IETF,2709761
MOM50,4937985
MOM50INAV,2592513
MOME30INAV,7821313
MOME50INAV,6558977
MOMENTUM,2737409
MOMENTUM30,194428929
MOMENTUM50,6555137
MOMGF,193817345
MOMGFINAV,7809793
MOMIDMINAV,7814657
MOMIDMTM,194001153
MOMNC,194573825
MOMNCINAV,7828993
MOMNTMINAV,2743041
MOMOMEINAV,2593025
MOMOMENTUM,2094593
MON100,5821185
MON100INAV,2593281
MON500INAV,4927489
MON50EINAV,7808257
MON50EQUAL,193766401
MONARCH,1965825
MONEXT50,193834753
MONEYBOXX,194401537
MONIFTY100,194398977
MONIFTY500,4924673
MONOLITH-SM,193781249
MONOPHARMA-SM,4708353
MONQ50,1900033
MONQ50INAV,2592769
MONT50INAV,7808513
MONTECARLO,1520129
MOPSE,193902337
MOPSEINAV,7812353
MOQLTYINAV,2772481
MOQUALITY,2770433
MORARJEE-BZ,6624257
MOREALINAV,5935873
MOREALTY,5935105
MOREPENLAB,578305
MOS250INAV,5936129
MOSCHIP,7541505
MOSERVICE,194560257
MOSERVINAV,7828481
MOSILVER,194164993
MOSILVINAV,7817729
MOSMALL250,5934337
MOS-SM,3853057
MOTHERSON,1076225
MOTHERSON-D1,6530561
MOTILALOFS,3826433
MOTISONS,5321729
MOTOGENFIN,580609
MOTOUR,193905409
MOTOURINAV,7812609
MOVALUE,2771201
MOVALUINAV,2772737
MOXSH-ST,3457793
MOY100INAV,7820545
MPEL-SM,194393857
MPHASIS,1152769
MPSLTD,2707969
MPTODAY-SM,5578753
MRF,582913
MRIL-SM,194223361
MRPL,584449
MSCIADD,194554369
MSCIADINAV,7828737
MSCIINDIA,7618049
MSCIININAV,7618817
MSPL,3051265
MSTCLTD,2395137
MSUMI,2200577
MTARTECH,693505
MTEDUCARE-BE,8041729
MTNL,587265
MUFIN,5064449
MUFTI,5344769
MUKANDLTD,2899201
MUKKA,5882881
MUKTAARTS,2223873
MULCAPINAV,6421505
MULTICAP,6420481
MUNISH-SM,194410497
MUNJALAU,3458817
MUNJALSHOW,590593
MURUDCERA,592129
MUTF27-NL,5980929
MUTHOOTCAP,2666241
MUTHOOTFIN,6054401
MUTHOOTMF,5332737
MVGJL,4867841
MVKAGRO-SM,5881857
MWL,194347265
MYMUDRA-SM,6453249
NACLIND,5228801
NAGAFERT-BZ,3343361
NAGREEKCAP,3825153
NAGREEKEXP,3763713
NAHARCAP,3932161
NAHARINDUS,3355137
NAHARPOLY,3697921
NAHARSPING,3696641
NAMAN-SM,5985025
NAM-INDIA,91393
NAMOEWASTE-SM,6442753
NARMADA,2976513
NATCAPSUQ,7573249
NATCOPHARM,1003009
NATHBIOGEN,2832641
NATIONALUM,1629185
NAUKRI,3520257
NAVA,1027585
NAVINFLUOR,3756033
NAVKARCORP,2702593
NAVKARURB,7461377
NAVNETEDUL,610561
NAVNIFINAV,4779777
NAZARA,764673
NBCC,8042241
NBIFIN,4892417
NCC,593665
NCLIND,3709441
NDGL,4702977
NDL,8002049
NDLVENTURE,3724033
NDR31-N0,195005185
NDRAUTO,5697281
NDRINVIT-IV,5806081
NDTV,2925313
NECCLTD,3461633
NECLIFE,3053313
NEELAM-SM,6943489
NELCAST,3778817
NELCO,611329
NEOCHEM-SM,194797569
NEOGEN,2538753
NEPHROCARE-SM,6233601
NEPHROPLUS,194648577
NEPTUNE-ST,193918977
NESCO,3944705
NESTLEIND,4598529
NETF,2006529
NETFINAV,2603009
NETFSIINAV,2108673
NETWEB,4462849
NETWORK18,3612417
NEUEON-BE,7821825
NEULANDLAB,615937
NEWGEN,297985
NEWJAISA-SM,4904449
NEXT30ADD,7542785
NEXT50,4398337
NEXT50ADD,194713345
NEXT50BETA,5498369
NEXT50ETF,194741505
NEXT50IETF,1159425
NEXT50INAV,7832833
NEXT5EINAV,7833089
NEXTMEDIA,2525953
NFL,3564801
NFQLTYINAV,2742785
NGIL,1382657
NGLFINE,2630913
NH,3031041
NHIT-IV,1671937
NHPC,4454401
NIACL,102145
NIBE,7548673
NIBL,7611649
NIDAN-SM,1687553
NIDOZC26-N7,4574209
NIF100BEES,7571713
NIF100IETF,7780353
NIF100INAV,7668737
NIF10GINAV,5770241
NIF5GINAV,5769985
NIFITEINAV,5757697
NIFTY1,4634113
NIFTY100EW,7665665
NIFTYADD,1907457
NIFTYBEES,2707457
NIFTYBETA,2690817
NIFTYBETF,5621505
NIFTYBINAV,5641473
NIFTYCASE,194381313
NIFTYCINAV,7822593
NIFTYETF,1626369
NIFTYIETF,7565569
NIFTYQLITY,2736641
NIITLTD,2949633
NIITMTS,4543233
NIKITA-SM,194093569
NILAINFRA,2368769
NILASPACES,1897217
NILKAMAL,619777
NIM150INAV,4698369
NIMBSPROJ,195000321
NINSYS,3633665
